"DATE","MSFT","KO","DD","XOM","GE","IBM","CVX","UTX","PG","CAT","BA","PFE","JNJ","MMM","MRK","AA","DIS","HPQ","MCD","JPM","WMT","AXP","INTC","BAC","TRV","VZ","T","HD","CSCO","UNH","mktrf","smb","hml","rf","umd","SP500"
Jan 2000,-0.16167,-0.013948,-0.104364,0.035687,-0.136511,0.040556,-0.034632,-0.185577,-0.074661,-0.091368,0.073906,0.115607,-0.077078,-0.043423,0.173023,-0.160392,0.241453,-0.048352,-0.072868,0.043894,-0.207957,-0.007669,0.201974,-0.034869,-0.103896,0.012345,-0.115513,-0.176364,0.02217,-0.002353,-0.0473,0.0437,0.0024,0.0041,0.019,-0.050904
Feb 2000,-0.086845,-0.153428,-0.138136,-0.092105,-0.009355,-0.083563,-0.099103,-0.034002,-0.130489,-0.173785,-0.166798,-0.109775,-0.160145,-0.051883,-0.218874,-0.013453,-0.077453,0.242494,-0.153846,-0.013168,-0.107306,-0.185508,0.142438,-0.050323,-0.258799,-0.209889,-0.112245,0.020971,0.207192,-0.035377,0.0245,0.2202,-0.1268,0.0043,0.1839,-0.020108
Mar 2000,0.188811,-0.031208,0.048267,0.034855,0.178735,0.148418,0.237657,0.240491,-0.357041,0.124777,0.023689,0.138132,-0.024306,0.004252,0.013848,0.025547,0.231343,-0.010892,0.181818,0.094976,0.157238,0.109921,0.167589,0.150815,0.537207,0.249042,0.106732,0.116368,0.16974,0.166846,0.052,-0.1639,0.0767,0.0047,-0.0685,0.09672
Apr 2000,-0.343529,0.006658,-0.103896,-0.003208,0.010442,-0.055085,-0.079108,-0.015826,0.063186,0.008241,0.049587,0.152137,0.174377,-0.021877,0.118712,-0.076512,0.05,0.015992,0.018395,-0.167254,-0.019912,0.005388,-0.038844,-0.065554,0.043956,-0.024376,0.046083,-0.124031,-0.103274,0.118449,-0.064,-0.0773,0.0913,0.0046,-0.0846,-0.030796
May 2000,-0.103047,0.12963,0.040316,0.078069,0.005167,-0.03583,0.093539,-0.024925,0.112971,-0.030111,-0.01222,0.06,0.088727,-0.003405,0.077914,-0.095376,-0.031746,-0.109722,-0.059113,0.035529,0.047404,0.083612,-0.01652,0.141582,0.052632,-0.107595,-0.002853,-0.136062,-0.178724,0.118088,-0.0443,-0.0485,0.0372,0.005,-0.0909,-0.021915
Jun 2000,0.278721,0.079297,-0.107143,-0.057764,0.005931,0.020373,-0.082488,-0.025853,-0.139098,-0.114379,0.0704,0.077139,0.138268,-0.037901,0.026801,-0.007487,-0.074516,0.29448,-0.080279,-0.074895,-0.005431,-0.034722,0.07218,-0.224352,-0.0828,-0.039007,-0.010014,0.023867,0.116356,0.150042,0.0464,0.137,-0.1005,0.004,0.1653,0.023934
Jul 2000,-0.127344,0.067465,0.035714,0.019108,-0.026903,0.026241,-0.068534,-0.008493,-0.000437,0.015572,0.171898,-0.101563,-0.086503,0.091667,-0.064437,0.043103,-0.003221,-0.125626,-0.043643,0.085645,-0.046638,0.089065,-0.001403,0.101744,0.302198,-0.074948,-0.010029,0.036295,0.029499,-0.045918,-0.0245,-0.028,0.0851,0.0048,-7e-04,-0.016341
Aug 2000,0,-0.141692,-0.001931,0.025812,0.140948,0.175142,0.077848,0.073019,0.086813,0.078899,0.097245,0.004986,-0.00865,0.039056,-0.020541,0.103306,0.006462,0.105896,-0.051587,0.124528,-0.136519,0.042999,0.121948,0.141161,0.07173,-0.071809,-0.01909,-0.070483,0.048711,0.15508,0.0714,-0.0089,-0.0128,0.005,0.0577,0.060699
Sep 2000,-0.136079,0.050736,-0.076602,0.091884,-0.014711,-0.147727,0.008876,0.109109,0.083923,-0.081633,0.174825,0.039017,0.021754,-0.020161,0.065295,-0.238722,-0.017657,-0.195362,0.01046,-0.173378,0.015758,0.027484,-0.444908,-0.02217,0.041102,0.110315,0.197605,0.104031,-0.1949,0.044974,-0.0544,-0.0187,0.0685,0.0051,0.0222,-0.053483
Oct 2000,0.141969,0.095238,0.095023,0.000701,-0.049837,-0.124444,-0.036657,0.008123,0.071455,0.048963,0.076389,-0.038943,-0.019295,0.060357,0.208228,0.133333,-0.063725,-0.041237,0.026915,-0.007957,-0.057143,-0.011029,0.082707,-0.082339,0.03929,0.201497,0.158825,-0.189635,-0.024887,0.107595,-0.0277,-0.0366,0.0479,0.0056,-0.0468,-0.004949
Nov 2000,-0.166969,0.040083,-0.05978,-0.008381,-0.095781,-0.049442,0.004871,0.017547,0.048119,0.121212,0.020498,0.028133,0.088955,0.039638,0.030577,-0.013072,-0.191972,-0.319892,0.035161,-0.18956,0.150138,-0.084375,-0.153722,-0.157399,-0.021951,-0.028108,-0.047671,-0.087733,-0.111369,0.072571,-0.1073,-0.031,0.1242,0.0051,-0.025,-0.080069
Dec 2000,-0.244009,-0.026946,0.141802,-0.012074,-0.029559,-0.090909,0.031298,0.110327,0.047579,0.203498,-0.044344,0.038082,0.050625,0.206508,0.013783,0.18847,0.007257,0.000553,0.066667,0.232203,0.019114,0,-0.210181,0.14867,0.088928,-0.107898,-0.13083,0.165869,-0.201044,0.046351,0.0119,0.0155,0.0613,0.005,0.0681,0.004053
Jan 2001,0.407781,-0.048205,-0.095265,-0.032063,-0.040834,0.317647,-0.013708,-0.046359,-0.079649,-0.058177,-0.113636,-0.018478,-0.113575,-0.081743,-0.122243,0.101194,0.052268,0.167525,-0.136765,0.217277,0.069176,-0.141206,0.230769,0.173188,-0.115857,0.10394,0.01788,0.054993,-0.021242,-0.080896,0.0312,0.0703,-0.057,0.0054,-0.2497,0.034637
