"DATE","PERMNO","GVKEY","CUSIP","TICKER","NAME","RETURN","GSECTOR","SECTOR","MARKETCAP","ENTVALUE","P2B","EV2S","EV2OIBDA"
2000-01-31,24643,1356,"013817101","AA","ALCOA INC",-0.160392,15,"Materials",25.9563915,29.0593915,4.36902735229759,1.61118826236416,7.82007306243272
2000-01-31,59176,1447,"025816109","AXP","AMERICAN EXPRESS CO",-0.007669,40,"Financials",66.23250625,93.81950625,6.45981724861016,3.89551180244146,20.3778249891399
2000-01-31,19561,2285,"097023105","BA","BOEING CO",0.073906,20,"Industrials",32.8524453125,36.8784453125,2.77118897617039,0.930334140073158,10.5126697013968
2000-01-31,59408,7647,"060505104","BAC","BANK OF AMERICA CORP",-0.034869,40,"Financials",86.928475375,213.459475375,1.92226074421742,3.77456987153416,10.8841258094534
2000-01-31,18542,2817,"149123101","CAT","CATERPILLAR INC",-0.091368,20,"Industrials",13.7474786875,27.2344786875,2.50136075100073,1.38414711768144,8.15403553517964
2000-01-31,76076,20779,"17275R102","CSCO","CISCO SYSTEMS INC",0.02217,45,"InformationTechnology",377.2275,373.2595,22.830448465775,21.4172308928162,74.473164405427
2000-01-31,14541,2991,"166764100","CVX","CHEVRON CORP",-0.034632,10,"Energy",60.252796125,67.352796125,3.34644799361289,1.612390982596,7.36257063019239
2000-01-31,11703,4087,"263534109","DD","DU PONT (E I) DE NEMOURS",-0.104364,15,"Materials",55.4334501875,65.7504501875,4.27298621656517,2.16483768561504,8.62414089552728
2000-01-31,26403,3980,"254687106","DIS","DISNEY (WALT) CO",0.241453,25,"ConsumerDiscretionary",85.41225,95.09525,3.65697251241651,3.76943277310924,24.1358502538071
2000-01-31,12060,5047,"369604103","GE","GENERAL ELECTRIC CO",-0.136511,20,"Industrials",512.65116,690.54616,11.5207685738685,5.76897376775271,19.6826519211036
2000-01-31,66181,5680,"437076102","HD","HOME DEPOT INC",-0.176364,25,"ConsumerDiscretionary",130.481950125,131.090950125,10.5730451442347,3.57234985080118,31.0936788721537
2000-01-31,27828,5606,"428236103","HPQ","HEWLETT-PACKARD CO",-0.048352,45,"InformationTechnology",108.262124,107.072124,5.60769315238786,2.2931578000514,21.8158361858191
2000-01-31,12490,6066,"459200101","IBM","INTL BUSINESS MACHINES CORP",0.040556,45,"InformationTechnology",211.554766,236.087766,10.9778821026413,3.05054483667563,22.0725286088257
