"Date","LC","MC","SC"
"1993-01-31",4257427625,1518241542,138749166
"1993-02-28",4398412000,1496063952,136551825
"1993-03-31",4332012014,1522492750,138034500
"1993-04-30",4.136e+09,1452291552,131196568
"1993-05-31",4560505500,1590222314,137063065
"1993-06-30",4345868750,1589468125,131199000
"1993-07-31",4247800000,1524773096,129552806
"1993-08-31",4290569500,1575483006,133935040
"1993-09-30",4.24e+09,1513757000,130663000
"1993-10-31",4173831372,1514917995,127772625
"1993-11-30",4293693925,1525797000,126529052
"1993-12-31",4254778125,1520401215,125268250
"1994-01-31",4342094136,1556678412,125383739
"1994-02-28",4279182979,1478400000,123632000
"1994-03-31",4084991250,1435648500,117238000
"1994-04-30",4129844928,1475464182,120630509
"1994-05-31",4157278107,1493703000,115937361
"1994-06-30",3874346125,1411371508,111919500
"1994-07-31",3914922391,1462107780,115476254
"1994-08-31",4211801000,1514526906,118989321
"1994-09-30",3893274000,1434814907,115474750
"1994-10-31",4104416790,1488403961,113800500
"1994-11-30",3979425650,1383424205,110372500
"1994-12-31",4196666554,1391223712,112277148
"1995-01-31",4249695744,1494108504,113395750
"1995-02-28",4565327250,1561140750,116446541
"1995-03-31",4603981250,1644163500,116816000
"1995-04-30",4758446617,1713826410,121500000
"1995-05-31",5083144996,1767891312,121002000
"1995-06-30",5235867936,1779900000,126464500
"1995-07-31",5428139303,1843959663,128895000
"1995-08-31",5541250000,1875400016,130117743
"1995-09-30",5775246750,1919699815,131222000
"1995-10-31",5854730797,1868078998,126956328
"1995-11-30",5925245504,1833531392,127276288
"1995-12-31",5722410000,1872323311,128877044
"1996-01-31",5999507077,1906373028,131046906
"1996-02-29",6172808564,1963558694,132125750
"1996-03-31",5892328500,1929098800,131629089
"1996-04-30",5907577720,1924711192,135579000
"1996-05-31",5793927543,1822214783,133957743
"1996-06-30",5545927200,1750182000,123112470
"1996-07-31",5271524240,1757108000,116531591
"1996-08-31",5605226250,1825232550,122262000
"1996-09-30",5532524068,1858638000,125167500
"1996-10-31",5850996000,1864457644,125099268
"1996-11-30",6815957232,2148711678,137036500
"1996-12-31",4979026931,1697224500,154134500
"1997-01-31",5464168042,1810993125,157504000
"1997-02-28",5583019139,1903669869,157275625
"1997-03-31",5339572590,1.83e+09,148846838
"1997-04-30",5841657192,1.969e+09,156656250
"1997-05-31",6030546620,2037500500,169904000
"1997-06-30",6257562000,2141042000,176385000
"1997-07-31",6756964500,2246193000,189805000
"1997-08-31",6148230722,2065201125,183162000
"1997-09-30",6558128000,2105064500,188475500
"1997-10-31",6465587500,1994899813,173988000
"1997-11-30",6768468750,2171212250,183277500
"1997-12-31",7.326e+09,2225947500,197502500
"1998-01-31",7366431112,2200990313,195189250
"1998-02-28",7884271125,2361246750,208626625
"1998-03-31",8450744000,2482997625,2.16e+08
"1998-04-30",8197660000,2451536063,214984000
"1998-05-31",8252717813,2414890728,206870000
"1998-06-30",8708541954,2560362500,215735625
"1998-07-31",9271875000,2606296875,212607750
"1998-08-31",8160259103,2309914647,183798750
"1998-09-30",8596933331,2492055500,195965250
"1998-10-31",9996950220,2847272625,223068000
"1998-11-30",10595743500,3022125000,234108000
"1998-12-31",11624740500,3220055000,256645125
"1999-01-31",12405006188,3453823000,253322500
"1999-02-28",12358164000,3474661750,239026375
"1999-03-31",13369468938,3764171250,253835500
"1999-04-30",13257783250,3736116000,266460000
"1999-05-31",12283711250,3544509375,259778063
"1999-06-30",12733694100,3715412052,280600791
"1999-07-31",12186421972,3389741250,258089000
"1999-08-31",11816883750,3471238250,258305438
"1999-09-30",11563135500,3196050250,250312500
"1999-10-31",12808682250,3772969375,267716000
"1999-11-30",12792267216,3810640000,278148938
"1999-12-31",14065025000,4169763000,300783250
"2000-01-31",13364421875,3745261500,264509000
"2000-02-29",12646647812,3660635000,269052000
"2000-03-31",14769022500,3905305125,281188500
"2000-04-30",14248575000,3928289063,272668000
"2000-05-31",13898395500,3856617000,273608000
"2000-06-30",14677542000,3845609500,301094172
"2000-07-31",15099808000,3842969250,297896625
"2000-08-31",15966954750,4269725100,322103500
"2000-09-30",15158428500,4053456243,315354000
"2000-10-31",15731734674,4190256000,311811500
"2000-11-30",14394218771,3825447250,287856750
"2000-12-31",13898228062,3742131375,312606000
"2001-01-31",13926214939,3826943100,305761500
"2001-02-28",12512717000,3516426375,276083360
"2001-03-31",11587417371,3251144804,258055000
"2001-04-30",12429108600,3503808000,287959100
"2001-05-31",11771318000,3472685090,290594880
"2001-06-30",11216199990,3341258500,298869500
"2001-07-31",11082222720,3244310700,285433120
"2001-08-31",10076268480,2990709000,272100720
"2001-09-30",9700546320,2861270160,245855360
"2001-10-31",9590667300,2817113880,248845560
"2001-11-30",10338253930,3093521400,277282750
"2001-12-31",10194586800,2938736520,279054160
"2002-01-31",9840408750,2942413260,268283500
"2002-02-28",9786382860,2906202000,267088250
"2002-03-31",9735787530,2937710650,283806000
"2002-04-30",8933569920,2675113220,269501470
"2002-05-31",9106814650,2698565100,262314030
"2002-06-30",8568085380,2466351299,249274900
"2002-07-31",8258056856,2426833500,219889750
"2002-08-31",8122681840,2401399200,221056000
"2002-09-30",7473845660,2110805340,201540900
"2002-10-31",8261008020,2314726500,215875749
"2002-11-30",8452551300,2415156920,229030000
"2002-12-31",7765029543,2258393256,214302972
"2003-01-31",7579615120,2186240100,201420650
"2003-02-28",7403775042,2143593860,194628976
"2003-03-31",7626863061,2139000820,196782000
"2003-04-30",8374394621,2328680976,210628150
"2003-05-31",8310324000,2392853400,224035870
"2003-06-30",8539816728,2422952952,224959005
"2003-07-31",8526402000,2381709207,232113340
"2003-08-31",8441499192,2354062690,238492325
"2003-09-30",8152051000,2314846247,226477983
"2003-10-31",8434365244,2405977132,240347991
"2003-11-30",8350531945,2427852400,242663128
"2003-12-31",8592297000,2507333009,248185300
"2004-01-31",8662438200,2513383575,248825210
"2004-02-29",8652366520,2548710325,250574118
"2004-03-31",8281574438,2470855273,241766748
"2004-04-30",8493123520,2469526141,235620000
"2004-05-31",8471199400,2498394750,233452670
"2004-06-30",8417697088,2477292248,238639326
"2004-07-31",8524205760,2457626969,224329534
"2004-08-31",8620610468,2480081886,223760086
"2004-09-30",8379987200,2410389797,230831797
"2004-10-31",8389518000,2441750323,234393833
"2004-11-30",8485609711,2430190488,247904020
"2004-12-31",8753560614,2498625361,252221165
"2005-01-31",8557713182,2462413492,238271090
"2005-02-28",8737955471,2570864632,243831535
"2005-03-31",8817935130,2525066250,236230520
"2005-04-30",8691656700,2564754780,231687585
"2005-05-31",8858185547,2619443140,243776000
"2005-06-30",8752765920,2583332550,252883491
"2005-07-31",8895840000,2694352900,262590560
"2005-08-31",8857778580,2654851760,252601200
"2005-09-30",9062748800,2694309640,254786004
"2005-10-31",9235132860,2680656000,253069320
"2005-11-30",9538401880,2777814590,264547260
"2005-12-31",9541053400,2814808320,261903360
"2006-01-31",9502980000,2782268123,271441920
"2006-02-28",9556207320,2794281600,269238000
"2006-03-31",9466556930,2804360430,275577300
"2006-04-30",9653891850,2840465500,275918000
"2006-05-31",9344143320,2764588960,261608000
"2006-06-30",9550103817,2785294790,264479319
"2006-07-31",9770525440,2825195013,266240436
"2006-08-31",9965866720,2868118730,273959400
"2006-09-30",10244434950,2897876940,281838575
"2006-10-31",10375803150,2940531050,295850000
"2006-11-30",10367829430,3001007860,302809320
"2006-12-31",10605139560,2989430600,305621720
"2007-01-31",10769103770,3138236640,306367831
"2007-02-28",10488883470,3109224690,298373670
"2007-03-31",10368005100,3079893360,303619680
"2007-04-30",10978193160,3283820820,308992989
"2007-05-31",11157774150,3414851300,322908180
"2007-06-30",10916744000,3348534850,312797698
"2007-07-31",11278783440,3295085280,295580000
"2007-08-31",11586068970,3355879203,310847600
"2007-09-30",12035720320,3483710870,317318980
"2007-10-31",12247818900,3574604800,330214162
"2007-11-30",12260149590,3491649150,310689280
"2007-12-31",12077688880,3445846080,3.12e+08
"2008-01-31",10941697200,3280426250,287219150
"2008-02-29",10844425800,3153874220,273235680
"2008-03-31",10808723400,3111008280,277267640
"2008-04-30",11080097700,3344886000,293760000
"2008-05-31",10959452220,3397544922,301326795
"2008-06-30",10138341420,3170400450,275947320
"2008-07-31",10404360990,3169751550,290257240
"2008-08-31",10221117900,3186394320,296233710
"2008-09-30",9542059720,2840157120,277238720
