,"Bond","Equity","Commodity","Dollar","Credit","Volatility","Curve"
1995-01-31,0.0198,0.0259,-0.0248,-0.0083,0.0130,-0.1510,0.0027
1995-02-28,0.0238,0.0390,0.0081,-0.0235,0.0138,0.0061,0.0036
1995-03-31,0.0061,0.0295,0.0136,-0.0468,0.0150,0.1829,0.0042
1995-04-30,0.0140,0.0294,0.0306,-0.0011,0.0154,-0.1163,0.0049
1995-05-31,0.0387,0.0400,-0.0084,0.0094,0.0157,0.2133,0.0046
1995-06-30,0.0073,0.0232,-0.0178,-0.0121,0.0173,-0.1154,0.0045
1995-07-31,-0.0022,0.0332,0.0261,-0.0001,0.0176,0.1102,0.0050
1995-08-31,0.0121,0.0025,0.0212,0.0492,0.0170,-0.1615,0.0051
1995-09-30,0.0097,0.0422,0.0042,-0.0151,0.0173,0.0834,0.0039
1995-10-31,0.0130,-0.0036,0.0101,-0.0072,0.0171,0.1101,0.0034
1995-11-30,0.0150,0.0439,0.0270,0.0185,0.0175,-0.1644,0.0045
1995-12-31,0.0140,0.0193,0.1023,-0.0055,0.0178,0.1527,0.0039
1996-01-31,0.0066,0.0340,-0.0016,0.0309,0.0182,-0.0432,0.0054
1996-02-29,-0.0174,0.0093,0.0401,-0.0125,0.0182,0.3807,0.0078
1996-03-31,-0.0069,0.0096,0.0650,0.0027,0.0176,0.1057,0.0061
1996-04-30,-0.0056,0.0147,0.0577,0.0173,0.0168,-0.1700,0.0055
1996-05-31,-0.0020,0.0258,-0.0079,-0.0027,0.0156,0.0297,0.0064
1996-06-30,0.0134,0.0038,0.0388,0.0005,0.0149,-0.1234,0.0061
1996-07-31,0.0027,-0.0442,-0.0473,-0.0219,0.0148,0.3283,0.0060
1996-08-31,-0.0017,0.0211,0.0322,0.0054,0.0154,-0.1263,0.0061
1996-09-30,0.0174,0.0563,0.0355,0.0183,0.0152,0.0130,0.0060
1996-10-31,0.0221,0.0276,-0.0025,-0.0058,0.0154,0.1153,0.0062
1996-11-30,0.0171,0.0756,0.0832,0.0056,0.0159,-0.0622,0.0050
1996-12-31,-0.0093,-0.0198,0.0096,0.0023,0.0159,0.1594,0.0052
1997-01-31,0.0031,0.0625,-0.0147,0.0557,0.0151,-0.0392,0.0057
1997-02-28,0.0025,0.0078,-0.0689,0.0200,0.0152,0.1268,0.0052
1997-03-31,-0.0111,-0.0411,0.0169,-0.0018,0.0149,-0.1198,0.0047
1997-04-30,0.0150,0.0597,0.0231,0.0260,0.0145,0.0262,0.0044
1997-05-31,0.0094,0.0609,0.0072,-0.0240,0.0149,0.0439,0.0043
1997-06-30,0.0119,0.0448,-0.0541,0.0086,0.0153,0.0552,0.0040
1997-07-31,0.0270,0.0796,0.0410,0.0414,0.0153,0.0176,0.0033
1997-08-31,-0.0085,-0.0560,0.0253,-0.0063,0.0152,0.1764,0.0036
1997-09-30,0.0148,0.0548,0.0253,-0.0190,0.0149,-0.1303,0.0033
1997-10-31,0.0145,-0.0334,0.0275,-0.0154,0.0154,0.4181,0.0026
1997-11-30,0.0046,0.0463,-0.0986,0.0227,0.0154,-0.2017,0.0017
1997-12-31,0.0101,0.0172,-0.0676,0.0190,0.0151,-0.0952,0.0009
1998-01-31,0.0128,0.0111,-0.0161,0.0114,0.0165,-0.1282,0.0018
1998-02-28,-0.0008,0.0721,-0.0660,-0.0094,0.0168,-0.1046,0.0015
1998-03-31,0.0034,0.0512,-0.0052,0.0166,0.0167,0.2481,0.0009
1998-04-30,0.0052,0.0101,-0.0273,-0.0176,0.0169,-0.1097,0.0008
1998-05-31,0.0095,-0.0172,-0.0472,0.0074,0.0165,0.0602,0.0006
1998-06-30,0.0085,0.0406,-0.0355,0.0072,0.0163,-0.1324,-0.0002
1998-07-31,0.0021,-0.0106,-0.0786,0.0003,0.0169,0.3228,0.0000
1998-08-31,0.0163,-0.1446,-0.0590,-0.0100,0.0180,0.8397,0.0007
1998-09-30,0.0234,0.0641,0.1022,-0.0404,0.0228,-0.1322,0.0014
1998-10-31,-0.0053,0.0813,-0.0469,-0.0251,0.0265,-0.3667,0.0044
1998-11-30,0.0057,0.0606,-0.1217,0.0262,0.0251,-0.0587,0.0029
1998-12-31,0.0030,0.0576,-0.0172,-0.0210,0.0258,0.0164,0.0014
1999-01-31,0.0071,0.0418,0.0044,0.0202,0.0257,0.0441,0.0010
1999-02-28,-0.0175,-0.0311,-0.0461,0.0272,0.0239,0.1127,0.0012
1999-03-31,0.0055,0.0400,0.1689,0.0147,0.0230,-0.1717,0.0018
1999-04-30,0.0032,0.0387,0.0413,0.0088,0.0230,0.0663,0.0020
1999-05-31,-0.0088,-0.0236,-0.0546,0.0132,0.0218,0.0119,0.0029
1999-06-30,-0.0032,0.0555,0.0643,0.0050,0.0212,-0.2036,0.0028
1999-07-31,-0.0043,-0.0312,0.0359,-0.0302,0.0216,0.2294,0.0024
1999-08-31,-0.0005,-0.0049,0.0704,0.0031,0.0221,-0.0228,0.0026
1999-09-30,0.0116,-0.0274,0.0530,-0.0166,0.0228,0.0654,0.0026
1999-10-31,0.0037,0.0633,-0.0516,0.0064,0.0227,-0.1610,0.0025
1999-11-30,-0.0001,0.0203,0.0405,0.0302,0.0212,0.1059,0.0017
1999-12-31,-0.0048,0.0589,0.0422,-0.0014,0.0191,0.0705,0.0018
2000-01-31,-0.0033,-0.0502,0.0723,0.0318,0.0167,-0.0191,0.0022
2000-02-29,0.0121,-0.0189,0.0625,0.0091,0.0177,-0.0233,-0.0009
2000-03-31,0.0132,0.0978,-0.0116,-0.0057,0.0211,0.0633,-0.0027
2000-04-30,-0.0029,-0.0301,-0.0091,0.0431,0.0241,0.0606,-0.0041
2000-05-31,-0.0005,-0.0205,0.1120,-0.0129,0.0246,-0.0793,-0.0037
2000-06-30,0.0208,0.0247,0.0713,-0.0152,0.0238,-0.1622,-0.0038
2000-07-31,0.0091,-0.0156,-0.0768,0.0249,0.0230,0.0530,-0.0029
2000-08-31,0.0145,0.0621,0.1541,0.0273,0.0243,-0.1775,-0.0040
2000-09-30,0.0063,-0.0528,-0.0137,0.0052,0.0255,0.2370,-0.0028
2000-10-31,0.0066,-0.0042,0.0023,0.0307,0.0260,0.0897,-0.0017
2000-11-30,0.0163,-0.0788,0.0922,-0.0129,0.0256,0.2666,-0.0016
2000-12-31,0.0186,0.0049,-0.0206,-0.0486,0.0278,-0.0817,-0.0011
