Function or Data Name,Author,Data Sets for Examples,Dependencies,Vignette Usage,Comments,,,,,,,,
assetDecomp,Avinash Acharya,"factorDataSetDjia5Yrs, wtsDjiaGmvLo",,,,,,,,,,,
chartCusum,Chinhanai Uthaisaad,cusumData,cusumActMgr,,,,,,,,,,
chartRobRisk,Chinhanai Uthaisaad,RussellData,robRiskBudget,,,,,,,,,,
CommonFactors,Sangeetha Srinivasan,"factors.M, factors.Q",,fitTsfm   But never used !!!,,,,,,,,,
cusumActMgr,Chinhanai Uthaisaad,cusumData,,,,,,,,,,,
cusumData,Chinhanai Uthaisaad,,,,,,,,,,,,
dCornishFisher,Eric Zivot & Yi-An Chen,None,,,,,,,,,,,
exposuresTseries,Avinash Acharya,factorDataSetDjia5Yrs,,,,,,,,,,,
factorDataSetDjia,Doug,,,Doug vignette,,,,,,,,,
factorDataSetDjia5Yrs,Doug,,,Doug vignette,,,,,,,,,
factorDataSPGMI,Doug,,,Doug vignette,,,,,,,,,
fitFfm,Avinash Acharya + others,factorDataSetDjia5Yrs,,,,,,,,,,,
fitSfm,"Zivot, Sangeetha, Chen","StockReturns, r.M, r.W",,Sangeetha fitSfm,"Should include in 1.0, check data sources refs",,,,,,,,
fitTsfm,"Zivot, Sangeetha, Chen",managers (from PerformanceAnalytics),,Sangeetha fitTsfm,,,,,,,,,
fitTsfm.control,Sangeetha,managers (from PerformanceAnalytics),,Sangeetha fitTsfm,,,,,,,,,
fitTsfmLagBeta,"Chen, Sangeetha, Doug spec",managers (from PerformanceAnalytics),,Sangeetha fitTsfm ?,,,,,,,,,
fitTsfmMT,"Chen, Sangeetha, Doug spec",managers (from PerformanceAnalytics),,Sangeetha fitTsfm ?,,,,,,,,,
fitTsfmUpDn,"Yi-An Chen, Doug spec",managers (from PerformanceAnalytics),,Sangeetha fitTsfm ?,,,,,,,,,
fmCov,"Zivot, Chen, Sangeetha","managers, StockReturns, Stocks.df",,"fitTsfm, fitSfm, fitFfm",,,,,,,,,
fmEsDecomp,"Zivot, Sangeetha, Chen","managers, StockReturns, Stocks.df",,"fitTsfm, fitSfm, fitFfm",,,,,,,,,
fmmc,"Rohit Arora, Doug spec","None, no example",,,Need examles and a vignette.  Later.,,,,,,,,
fmmc.estimate.se,"Rohit Arora, Doug spec","None, no example",,,Need examles and a vignette.  Later.,,,,,,,,
fmmcSemiParam,"Zivot, Chen, Sangeetha",Managers,,,,,,,,,,,
fmRsq,"Avinash Acharya, Doug spec",factorDataSetDjia5Yrs,,Doug vignette,,,,,,,,,
fmSdDecomp,"Zivot, Chen, Sangeetha","managers, StockReturns",,"fitTsfm, fitSfm",,,,,,,,,
fmTstats,"Avinash Acharya, Doug spec",factorDataSetDjia5Yrs,,,,,,,,,,,
fmVaRDecomp,"Zivot, Chen, Sangeetha","managers, StockReturns, Stocks.df",,"fitTsfm, fitSfm, fitFfm",,,,,,,,,
managers,,,,,Delete. Load from PerformanceAnalytics,,,,,,,,
managers.ffm,,,,,"Unused, delete",,,,,,,,
mktSP,,,,,"Unused, delete",,,,,,,,
mktUS,,,,,"Unused, delete",,,,,,,,
paFm,"Chen, Sangeetha",managers,,,Check for duplication of functionality,,,,,,,,
plot.pafm,Chen,managers,,,Check for duplication of functionality,,,,,,,,
plot.sfm,"Zivot, Sangeetha, Chen","StockReturns, r.W",,,Probably some choices do not work. Check!,,,,,,,,
plot.tsfm,"Zivot, Sangeetha, Chen",managers,,,Some choices do not work. Kirk is trying to fix,,,,,,,,
plot.tsfmUpDn,"Yi-An Chen, Doug spec",managers,,,,,,,,,,,
portEsDecomp,"Lingjie Yi, Doug spec","managers, stocks145scores6",,,,,,,,,,,
portSdDecomp,"Lingjie Yi, Doug spec","managers, stocks145scores7",,,,,,,,,,,
portVaRDecomp,"Lingjie Yi, Doug spec","managers, stocks145scores8",,,,,,,,,,,
portVolDecomp,"Lingjie Yi, Doug spec","managers, stocks145scores9",,,,,,,,,,,
predict.ffm,Sangeetha,Stocks.df,,,,,,,,,,,
predict.sfm,"Chen, Sangeetha","StockReturns, r.M",,,,,,,,,,,
predict.tsfm,"Chen, Sangeetha",managers,,,,,,,,,,,
predict.tsfmUpDn,"Chen, Sangeetha",managers,,,,,,,,,,,
print.ffm,"Chen, Sangeetha",Stocks.df,,,,,,,,,,,
print.pafm,Chen,managers,,,,,,,,,,,
print.sfm,"Chen, Sangeetha","StockReturns, r.M",,,,,,,,,,,
print.tsfm,"Chen, Sangeetha",managers,,,,,,,,,,,
print.tsfmUpDn,"Chen, Sangeetha",managers,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Additional functions in FactorAnalytics that have man pages but do not show up with ls(""package:FactorAnalytics"")",,,,,,,,,,,,,
,,,,,,,,,,,,,
repExposures,,,,,,,,,,,,,
repReturn,,,,,,,,,,,,,
repRisk,,,,,,,,,,,,,
riskDecomp,,,,,,,,,,,,,
riskFreeRate,,,,,,,,,,,,,
robRiskBudget,,,,,,,,,,,,,
RussellData,,,,,,,,,,,,,
simulateARL,,,,,,,,,,,,,
Stock.df,,,,,,,,,,,,,
StockReturns,,,,,,,,,,,,,
stocks145scores6,,,,,,,,,,,,,
summary.cusumCatMgr,,,,,,,,,,,,,
summary.ffm,,,,,,,,,,,,,
summary.pafm,,,,,,,,,,,,,
summary.sfm,,,,,,,,,,,,,
summary.tsfm,,,,,,,,,,,,,
summary.tsfmUpDn,,,,,,,,,,,,,
TreasuryYields,,,,,,,,,,,,,
tsPlotMP,,,,,,,,,,,,,
vit,,,,,,,,,,,,,
wtsDjiaGmv,,,,,,,,,,,,,
wtsDjiaGmvLo,,,,,,,,,,,,,
wtsStocks145GmvLo,,,,,,,,,,,,,
