gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,conm,CURCDQ,DATACQTR,DATAFQTR,CEQQ,CSHOQ,COSTAT,DVPSPQ,MKVALTQ,PRCCQ,SPCINDCD,SPCSECCD
1356,3/31/2000,2000,1,INDL,C,D,STD,AA,ALCOA INC,USD,2000Q1,2000Q1,5941,369.486,A,0.25,,70.25,115,970
1356,6/30/2000,2000,2,INDL,C,D,STD,AA,ALCOA INC,USD,2000Q2,2000Q2,10984,866.001,A,0.125,,29,115,970
1356,9/30/2000,2000,3,INDL,C,D,STD,AA,ALCOA INC,USD,2000Q3,2000Q3,10938,864.961,A,0.125,,25.3125,115,970
1356,12/31/2000,2000,4,INDL,C,D,STD,AA,ALCOA INC,USD,2000Q4,2000Q4,11366,865.517,A,0.125,,33.5,115,970
1356,3/31/2001,2001,1,INDL,C,D,STD,AA,ALCOA INC,USD,2001Q1,2001Q1,10963,863.168,A,0.15,,35.95,115,970
1356,6/30/2001,2001,2,INDL,C,D,STD,AA,ALCOA INC,USD,2001Q2,2001Q2,10986,857.667,A,0.15,,39.4,115,970
1356,9/30/2001,2001,3,INDL,C,D,STD,AA,ALCOA INC,USD,2001Q3,2001Q3,10762,849.303,A,0.15,,31.01,115,970
1356,12/31/2001,2001,4,INDL,C,D,STD,AA,ALCOA INC,USD,2001Q4,2001Q4,10558,847.582,A,0.15,,35.55,115,970
1356,3/31/2002,2002,1,INDL,C,D,STD,AA,ALCOA INC,USD,2002Q1,2002Q1,10463,846.647,A,0.15,,37.74,115,970
1356,6/30/2002,2002,2,INDL,C,D,STD,AA,ALCOA INC,USD,2002Q2,2002Q2,10828,844.427,A,0.15,,33.15,115,970
1356,9/30/2002,2002,3,INDL,C,D,STD,AA,ALCOA INC,USD,2002Q3,2002Q3,10673,844.244,A,0.15,,19.3,115,970
1356,12/31/2002,2002,4,INDL,C,D,STD,AA,ALCOA INC,USD,2002Q4,2002Q4,9872,844.819,A,0.15,,22.78,115,970
1356,3/31/2003,2003,1,INDL,C,D,STD,AA,ALCOA INC,USD,2003Q1,2003Q1,10028,845.157,A,0.15,,19.38,115,970
1356,6/30/2003,2003,2,INDL,C,D,STD,AA,ALCOA INC,USD,2003Q2,2003Q2,10334,846.084,A,0.15,,25.5,115,970
1356,9/30/2003,2003,3,INDL,C,D,STD,AA,ALCOA INC,USD,2003Q3,2003Q3,11062,865.355,A,0.15,,26.16,115,970
1356,12/31/2003,2003,4,INDL,C,D,STD,AA,ALCOA INC,USD,2003Q4,2003Q4,12020,868.491,A,0.15,,38,115,970
1356,3/31/2004,2004,1,INDL,C,D,STD,AA,ALCOA INC,USD,2004Q1,2004Q1,12239,869.411,A,0.15,,34.69,115,970
1356,6/30/2004,2004,2,INDL,C,D,STD,AA,ALCOA INC,USD,2004Q2,2004Q2,12220,869.836,A,0.15,,33.03,115,970
1356,9/30/2004,2004,3,INDL,C,D,STD,AA,ALCOA INC,USD,2004Q3,2004Q3,12500,870.479,A,0.15,,33.59,115,970
1356,12/31/2004,2004,4,INDL,C,D,STD,AA,ALCOA INC,USD,2004Q4,2004Q4,13245,870.98,A,0.15,,31.42,115,970
1356,3/31/2005,2005,1,INDL,C,D,STD,AA,ALCOA INC,USD,2005Q1,2005Q1,13348,872.011,A,0.15,,30.39,115,970
